Id,Name,Label
1,Group.View,مشاهده گروه کاربری
2,Group.Create,ایجاد گروه کاربری
3,Group.Edit,ویرایش گروه کاربری
4,Group.Delete,حذف گروه کاربری
5,Branch.View,مشاهده شعبات
6,Branch.Create,ایجاد شعبه
7,Branch.Edit,ویرایش شعبه
8,Branch.Delete,حذف شعبه
9,User.View,مشاهده کاربران
10,User.Create,ایجاد کاربر
11,User.Edit,ویرایش کاربر
12,User.Delete,حذف کاربر
13,City.View,مشاهده کاربران
14,City.Create,ایجاد کاربر
15,City.Edit,ویرایش کاربر
16,City.Delete,حذف کاربر
17,Customer.View,مشاهده مشتریان
18,Customer.Create,ایجاد مشتری
19,Customer.Edit,ویرایش مشتری
20,Customer.Delete,حذف مشتری
21,Bank.View,مشاهده بانک ها
22,Bank.Create,ایجاد بانک
23,Bank.Edit,ویرایش بانک
24,Bank.Delete,حذف بانک
25,Pos.View,مشاهده پوز بانک ها
26,Pos.Create,ایجاد پوز بانک
27,Pos.Edit,ویرایش پوز بانک
28,Pos.Delete,حذف پوز بانک
29,Currency.View,مشاهده واحدهای پولی
30,Currency.Create,ایجاد واحد پولی
31,Currency.Edit,ویرایش واحد پولی
32,Currency.Delete,حذف واحد پولی
33,Cash.View,مشاهده صندوق ها
34,Cash.Create,ایجاد صندوق
35,Cash.Edit,ویرایش صندوق
36,Cash.Delete,حذف صندوق
37,Laboratory.View,مشاهده ری گیری ها
38,Laboratory.Create,ایجاد ری گیری
39,Laboratory.Edit,ویرایش ری گیری
40,Laboratory.Delete,حذف ری گیری